word1,word2,word3,word4
gader,stier,veje,gætte
afmåle,opmåle,veje,gader
ram,skyd,fyr,bøje
bil,cykel,tog,fik
huggede,stjal,tog,bus
snup,stjæl,tag,væg
dør,væg,tag,snup
grus,sten,sand,falsk
rigtig,korrekt,sand,jord
afgrænsning,begrænsning,ramme,maleri
femmer,tyver,tier,siger
stilner,forstummer,tier,femmer
femten,ti,tyve,røvere
kriminelle,røvere,tyve,ti
rist,steg,bag,foran
ved siden af,oppe over,bag,kog
hædrer,priser,roser,violer
georginer,violer,roser,hædrer
kusine,bror,mor,grin
le,grin,mor,far
høtyv,rive,le,grine
fnise,grine,le,rive
tæver,slår,banker,sparekasse
finansinstitution,sparekasse,banker,tæsker
melodi,sang,vise,pege
,,vise,
omkommer,udånder,dør,port
indgang,port,dør,omkommer
hus,beboelse,lejlighed,mulighed
chance,mulighed,lejlighed,beboelse
,,pile,
,,pile,
,,piller,
,,piller,
,,kilde,
,,kilde,
,,hænder,fødder
,,hænder,sker
