Word 1,da1,Word 2,da2,Human (mean),Problem
love,kærlighed,sex,sex,6.77,
tiger,tiger,cat,kat,7.35,
tiger,tiger,tiger,tiger,10,
book,bog,paper,papir,7.46,
computer,computer,keyboard,tastatur,7.62,
computer,computer,internet,internet,7.58,
plane,fly,car,bil,5.77,
train,tog,car,bil,6.31,
telephone,telefon,communication,kommunikation,7.5,
television,tv,radio,radio,6.77,
media,medie,radio,radio,7.42,
drug,narkotika,abuse,misbrug,6.85,
bread,brød,butter,smør,6.19,
cucumber,agurk,potato,kartoffel,5.92,
doctor,læge,nurse,sygeplejerske,7,
professor,professor,doctor,læge,6.62,
student,studerende,professor,professor,6.81,
smart,klog,student,studerende,4.62,
smart,klog,stupid,dum,5.81,
company,firma,stock,aktie,7.08,
stock,aktie,market,marked,8.08,
stock,aktie,phone,telefon,1.62,
stock,aktie,CD,CD,1.31,
stock,aktie,jaguar,jaguar,0.92,
stock,aktie,egg,æg,1.81,
fertility,frugtbar,egg,æg,6.69,
stock,aktie,live,live,3.73,1
stock,aktie,life,liv,0.92,
book,bog,library,bibliotek,7.46,
bank,bank,money,penge,8.12,
wood,træ,forest,skov,7.73,
money,penge,cash,kontanter,9.15,
professor,professor,cucumber,agurk,0.31,
king,konge,cabbage,kål,0.23,
king,konge,queen,dronning,8.58,
king,konge,rook,tårn,5.92,
bishop,biskop,rabbi,rabbiner,6.69,
Jerusalem,Jerusalem,Israel,Israel,8.46,
Jerusalem,Jerusalem,Palestinian,Palæstina,7.65,
holy,hellig,sex,sex,1.62,
fuck,fuck,sex,sex,9.44,1
Maradona,Maradona,football,fodbold,8.62,
football,fodbold,soccer,fodbold,9.03,1
football,fodbold,basketball,basketball,6.81,
football,fodbold,tennis,tennis,6.63,
tennis,tennis,racket,ketsjer,7.56,
Arafat,Arafat,peace,fred,6.73,
Arafat,Arafat,terror,terror,7.65,
Arafat,Arafat,Jackson,Jackson,2.5,
law,lov,lawyer,advokat,8.38,
movie,film,star,stjerne,7.38,
movie,film,popcorn,popcorn,6.19,
movie,film,critic,anmelder,6.73,
movie,film,theater,teater,7.92,
physics,fysik,proton,proton,8.12,
physics,fysik,chemistry,kemi,7.35,
space,rum,chemistry,kemi,4.88,
alcohol,alkohol,chemistry,kemi,5.54,
vodka,vodka,gin,gin,8.46,
vodka,vodka,brandy,brandy,8.13,1
drink,drik,car,bil,3.04,
drink,drik,ear,øre,1.31,
drink,drik,mouth,mund,5.96,
drink,drik,eat,spise,6.87,
baby,baby,mother,mor,7.85,
drink,drik,mother,mor,2.65,
car,bil,automobile,automobil,8.94,
gem,ædelsten,jewel,juvel,8.96,
journey,rejse,voyage,rejse,9.29,1
boy,dreng,lad,fyr,8.83,
coast,kyst,shore,strand,9.1,1
asylum,asyl,madhouse,galehus,8.87,1
magician,magiker,wizard,troldmand,9.02,1
midday,middag,noon,middag,9.29,1
furnace,ovn,stove,komfur,8.79,
food,mad,fruit,frugt,7.52,
bird,fugl,cock,hane,7.1,
bird,fugl,crane,trane,7.38,
tool,værktøj,implement,redskab,6.46,1
brother,bror,monk,munk,6.27,
crane,trane,implement,redskab,2.69,1
lad,fyr,brother,bror,4.46,
journey,rejse,car,bil,5.85,
monk,munk,oracle,orakel,5,
cemetery,kirkegård,woodland,skov,2.08,1
food,mad,rooster,hane,4.42,
coast,kyst,hill,bakke,4.38,
forest,skov,graveyard,kirkegård,1.85,
shore,strand,woodland,skov,3.08,1
monk,munk,slave,slave,0.92,
coast,kyst,forest,skov,3.15,
lad,fyr,wizard,troldmand,0.92,
chord,akkord,smile,smil,0.54,
glass,glas,magician,magiker,2.08,
noon,middag,string,streng,0.54,
rooster,hane,voyage,rejse,0.62,
money,penge,dollar,dollar,8.42,
money,penge,cash,kontanter,9.08,
money,penge,currency,valuta,9.04,
money,penge,wealth,rigdom,8.27,
money,penge,property,ejendom,7.57,
money,penge,possession,besiddelse,7.29,
